track_name,album_name,artist_names,release_date,isrc,all_time_rank,track_score,spotify_streams,spotify_playlist_count,spotify_playlist_reach,spotify_popularity,youtube_views,youtube_likes,tiktok_posts,tiktok_likes,tiktok_views,youtube_playlist_reach,apple_music_playlist_count,airplay_spins,siriusxm_spins,deezer_playlist_count,deezer_playlist_reach,amazon_playlist_count,pandora_streams,pandora_track_stations,soundcloud_streams,shazam_counts,tidal_popularity,explicit_track
million dollar baby,Million Dollar Baby - Single,tommy richman,2024-04-26,QM24S2402528,1,725.4,390470936.0,30716,196631588,92,84274754,1713126,5767700,651565900,5332281936,150597040,210,40975,684,62,17598718,114,18004655,22931,4818457,2669262,,0
not like us,Not Like Us,kendrick lamar,2024-05-04,USUG12400910,2,545.9,323703884.0,28113,174597137,92,116347040,3486739,674700,35223547,208339025,156380351,188,40778,3,67,10422430,111,7780028,28444,6623075,1118279,,1
i like the way you kiss me,I like the way you kiss me,artemas,2024-03-19,QZJ842400387,3,538.4,601309283.0,54331,211607669,92,122599116,2228730,3025400,275154237,3369120610,373784955,190,74333,536,136,36321847,172,5022621,5639,7208651,5285340,,0
flowers,Flowers - Single,miley cyrus,2023-01-12,USSM12209777,4,444.9,2031280633.0,269802,136569078,85,1096100899,10629796,7189811,1078757968,14603725994,3351188582,394,1474799,2182,264,24684248,210,190260277,203384,,11822942,,0
houdini,Houdini,eminem,2024-05-31,USUG12403398,5,423.3,107034922.0,7223,151469874,88,77373957,3670188,16400,,,112763851,182,12185,1,82,17660624,105,4493884,7006,207179,457017,,1
lovin on me,Lovin On Me,jack harlow,2023-11-10,USAT22311371,6,410.1,670665438.0,105892,175421034,83,131148091,1392593,4202367,214943489,2938686633,2867222632,138,522042,4654,86,17167254,152,138529362,50982,9438601,4517131,,1
beautiful things,Beautiful Things,benson boone,2024-01-18,USWB12307016,7,407.2,900158751.0,73118,201585714,86,308723145,4120760,,29584940,534915313,4601579812,280,383478,429,168,48197850,154,65447476,57372,,9990302,,0
gata only,Gata Only,floyymenor,2024-02-02,QZL382406049,8,375.8,675079153.0,40094,211236940,92,228382568,1439495,3500000,338546668,3804584163,2112581620,160,17221,30,87,33245595,53,3372428,5762,,6063523,,1
danza kuduro - cover,ýýýýýýýýýýýýýýýýýýýýý - ýýýýýýýýýýýýýýýýýý -,music lab jpn,2024-06-09,TCJPA2463708,9,355.7,1653018119.0,1,15,,,,,,,,,,,,,,,,,,,1
band4band (feat. lil baby),BAND4BAND (feat. Lil Baby),central cee,2024-05-23,USSM12404354,10,330.6,90676573.0,10400,184199419,86,32735244,988682,325800,121574500,974656200,174706874,191,3823,117,78,10800098,92,1005626,842,3679709,666302,,1
i had some help (feat. morgan wallen),I Had Some Help,post malone,2024-05-10,USUM72404990,11,322.1,250080413.0,16219,168766158,91,32229063,550191,,184500,2100000,327130768,157,62312,71,60,12009073,114,23155471,21172,1594605,963413,,1
the door,The Door,teddy swims,2024-06-14,USWB12402486,12,320.2,111155129.0,2,263767,,,,,,,,,,,,,2,,,,,,1
lunch,HIT ME HARD AND SOFT,billie eilish,2024-05-17,USUM72401991,13,316.3,221636195.0,13800,197280692,92,40022524,1307290,195300,45889000,360017000,342107131,244,41344,45,138,38243636,163,1354692,1219,1313357,450344,,0
like that,WE DON'T TRUST YOU,future,2024-03-22,USSM12402041,14,308.2,355186436.0,43025,108168634,88,98081493,1456177,,,,174491415,153,90237,3,55,3001826,109,26252264,18364,12038034,1963314,,1
bathroom floor,bathroom floor,kids with buns,2022-10-07,NLC242100307,15,301.6,297185.0,277,24445,12,6736502312,16785489,3,1088,22234,,1,1057,,,,,,,,3288,,0
lala,LALA - Single,myke towers,2023-03-22,USWL12300002,16,299.9,925655569.0,103605,79944921,79,934302031,4294166,11054500,521725116,7499234052,2042145659,94,92231,228,60,5633435,83,12171026,13242,871978,2765808,,1
fortnight (feat. post malone),THE TORTURED POETS DEPARTMENT,taylor swift,2024-04-18,USUG12401028,17,297.6,395433400.0,12784,177932568,89,104673836,2484083,139300,25348800,207317000,268893710,221,129968,3,99,37988531,134,9961769,13437,377734,1210029,,0
greedy,greedy,tate mcrae,2023-09-14,USRC12301932,18,293.7,1258569694.0,105218,198845580,87,141646818,1514837,2294429,419319161,5456156211,2667285437,207,667329,3310,188,21788568,150,44850379,12270,,6973652,,1
blue,HIT ME HARD AND SOFT,billie eilish,2024-05-17,USUM72401996,19,292.6,91272461.0,6499,52287548,86,16038053,569377,941900,119740900,1225345800,5839168,76,181,1,24,5054005,33,283089,162,975891,257661,,0
as it was,As It Was,harry styles,2022-03-31,USSM12200612,20,292.0,3301814535.0,407119,169783402,87,800899315,9101589,2755903,1633970617,15405881843,7289707052,455,1777811,4909,330,12907852,189,132624772,79909,,14967379,,0
paint the town red,Paint The Town Red,doja cat,2023-08-04,USRC12300907,21,290.5,1065399331.0,170890,121712197,78,240970670,2749668,3091732,652428798,7095564106,1063591802,158,400899,273,143,13718632,146,70291476,49111,,7559816,,1
espresso,Espresso,sabrina carpenter,2024-04-12,USUM72403305,22,281.5,547882871.0,24425,262343414,95,107550212,1825761,209200,169144295,1379499000,422646034,298,37208,236,167,41414565,149,10362898,10848,1551157,1373085,,1
texas hold 'em,TEXAS HOLD 'EM,beyoncï¿,2024-02-10,USSM12401302,24,278.9,426700979.0,34044,152928632,86,35724356,437980,1470500,485200392,6518604175,1213175656,159,309497,257,194,40725482,177,13860535,36282,,2100708,,1
future,Future,official sound studio,2024-01-10,RUA1H2415548,25,277.5,,1,2,,,,9453333,273236305,4306269694,,,,,,,,,,,,,0
beat automotivo tan tan tan viral,Beat Automotivo Tan Tan Tan Viral,wz beat,2022-05-24,BXWEH2200054,26,268.1,7382759.0,3504,661084,35,4233958,69990,37621885,1636811753,22918660728,,1,,439,1,6,1,,,,633525,,0
stay (with justin bieber),STAY (with Justin Bieber),the kid laroi,2021-07-09,USSM12103949,27,266.3,3107100349.0,451732,134793519,78,1256973582,14661425,7485966,2246991336,23712377029,4327058646,513,1510151,4096,166,5783693,128,196783487,124922,36341585,,,1
baby shark,ýýýýýýýýý ýýýýýý ýýýýýýýýýýýý,pinkfong,2015-12-01,KRE671700001,28,265.7,720822868.0,60945,7530769,71,16322756555,48757673,7743800,281762094,6577639193,2166611,33,284,142,19,52179,17,86458847,2234137,,2064420,,0
we can't be friends (wait for your love),eternal sunshine,ariana grande,2024-03-08,USUM72317276,29,262.8,591068364.0,26203,197494995,87,156882014,3080503,,,,578568464,194,200230,32,117,22062193,126,10106573,7689,1612479,1579980,,0
numb / encore,Papercuts,jay-z,2024-04-12,USWB12400678,30,256.0,1003215671.0,128,485454,,,,,,,,,,,,,,179867721,87209,,4474248,,1
danza kuduro - cover,ýýýýýýýýýýýýýýýýýýýýýýýýýýý ýýýýýýýýýýýýýýýýýýýýýýýýýýý,love bgm jpn,2024-05-14,TCJPA2406007,31,249.8,1645079292.0,,,,,,,,,,,,,,,,,,,,,1
sheesh,BABYMONS7ER,babymonster,2024-04-01,KRA402400016,32,237.5,124893397.0,3479,25936342,82,359896095,4907193,212500,48327004,390081328,38798822,36,2188,32,3,347997,26,130743,592,265670,191867,,0
water,Water,tyla,2023-07-28,USSM12305126,33,234.6,670376179.0,98450,150471020,83,265180930,2566846,2114363,369150956,3932956380,3031114430,225,486952,1215,180,19469488,188,40418532,27555,6049784,6447136,,0
strangers,Strangers,kenya grace,2023-09-01,USWB12305048,34,233.5,750154960.0,139141,103879363,79,118208096,1495758,1031447,196985853,2231749390,1745168821,163,378114,856,113,16295286,112,20228317,5331,10938075,7477917,,0
too sweet,Unreal Unearth: Unheard,hozier,2024-03-22,USSM12401865,35,231.6,532012790.0,23557,67488850,,62123098,923733,,,,384716227,221,151990,64,42,658517,47,31032977,23005,1516649,,,0
what's love got to do with it - 2023 remaster,What's Love Got to Do with It (30th Anniversary Deluxe Edition),tina turner,2024-04-26,GBAYE2300351,36,230.0,479417905.0,7,1519,,,,,,,,,,,,,1,121250721,83632,,3692067,,0
a bar song (tipsy),A Bar Song (Tipsy),shaboozey,2024-04-12,USUYG1541249,37,226.4,311928522.0,25766,180237463,96,62694868,837616,,27811667,378313942,243895569,149,,141,58,26516005,146,21453034,30180,4482348,1707213,,1
lose control,Lose Control,teddy swims,2023-06-23,USWB12302315,38,224.1,775135157.0,88239,180617454,87,139180960,1504385,396560,49060857,597513595,4016801205,215,605841,162,133,42675181,120,253538985,72429,5409388,10517831,,0
fukumean,fukumean,gunna,2023-06-15,USAT22306575,39,221.1,759998727.0,188142,80392612,80,94699547,1222012,1237229,311252391,3281790327,140623676,123,265291,4003,40,2225409,88,64456799,20518,33130829,3945184,,1
dance monkey,Dance Monkey,tones and i,2019-05-10,QZES71982312,40,214.5,3071214106.0,375201,64901153,71,3366447481,27240268,10342366,393814740,5861939942,2428166573,549,573733,169,584,5749770,121,373294159,844198,37430204,44842636,,0
birds of a feather,HIT ME HARD AND SOFT,billie eilish,2024-05-17,USUM72401994,41,212.8,214237645.0,10871,202626837,92,11033725,251373,251200,71078500,443104700,148058631,247,3400,8,67,11523335,125,840442,2592,1369981,285858,,0
cupid ï¿½ï¿½ï¿½ twin ver. (fifty fifty) ï¿½ï¿½ï¿½ spe,Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,sped up 8282,2023-04-08,KRA252300672,42,211.2,170970614.0,27827,5784546,41,22280037,334523,14348249,948225544,12196985599,,2,672,,4,35737,9,270610,3170,,,,1
i'm good (blue),I'm Good (Blue),david guetta,2022-08-26,UKWLG2200055,43,209.6,1658229422.0,262248,239957538,83,466080689,4324989,728093,54258768,1051836430,1425853925,285,935190,2487,207,6479623,168,139926990,31235,8007236,10973120,,1
daylight,Daylight,david kushner,2023-04-14,QZXDB2300005,44,207.0,1126820069.0,177800,85255689,82,274070101,3701289,2557115,285329503,2578518632,1205538057,163,259255,96,77,3413707,80,28924685,14634,9505098,8681350,,0
my love mine all mine,The Land Is Inhospitable and So Are We,mitski,2023-09-15,USJ5G2335007,45,206.2,997702304.0,105927,92834002,86,48093111,959175,3648759,857220853,5469808282,298259422,91,36285,2676,63,10874749,110,6151267,9160,7980051,2682219,,0
please please please,Please Please Please,sabrina carpenter,2024-06-06,USUM72404101,46,205.7,59314441.0,2572,183043096,83,22374807,1026097,,188200,1200000,110446147,199,2359,2,73,13686074,98,360163,758,9883,47115,,1
houdini,Houdini - Single,dua lipa,2023-11-09,GBAHT2301246,47,205.1,493627071.0,45300,87874006,80,150571504,1575378,93500,35970610,386610043,3129834452,174,564640,405,146,28246184,127,25843941,3694,1991527,2389957,,0
if we ever broke up,If We Ever Broke Up,mae stephens,2023-02-10,GBUM72300969,49,203.6,304929492.0,43923,46133083,69,61986821,921044,13872768,390207653,5684815935,19218089,78,92638,822,41,3467570,36,7444354,7188,,2227494,,1
despacito,Despacito (Featuring Daddy Yankee),luis fonsi,2017-01-13,USUM71607007,50,203.5,1747093405.0,178114,49464650,74,9537135721,61799279,799338,78304409,1143297071,569548901,179,121234,116,145,1977014,118,266603596,2359900,,19622551,,0
euphoria,euphoria,kendrick lamar,2024-04-30,USUG12402839,51,202.1,168434320.0,17168,62516401,86,53604746,1846535,,,,174375427,65,6408,77,20,428378,31,3156727,4843,4304870,654482,,1
panda basi,Panda Basi - EP,mvua,2023-02-10,GX3Q92333626,52,200.3,104271.0,249,8585,25,2457026781,,190,36666,393580,,,12,,,,,,,,1881,,0
calm down (with selena gomez),Calm Down (with Selena Gomez),rema,2022-08-25,NGA3B2214021,53,198.0,1391688322.0,163876,130963116,77,902742581,8099187,599,48035,2857920,750030685,316,1107265,,112,11937930,146,52073859,41487,5820026,3521951,,0
shape of you,Shape of You,ed sheeran,2017-01-06,GBAHS1600463,54,195.1,3909458734.0,316378,148037882,80,8013997219,45770887,2270315,194420058,2320856331,2294804623,465,402829,282,512,2710931,115,733565655,651557,78149375,1146246,,0
mitu,Mitu - Single,maian,2023-01-19,EEUM72300001,55,194.3,55346.0,42,16861,13,2432265978,8162101,,,,,,53,,,,,,,,200,,0
blinding lights,Blinding Lights,the weeknd,2019-11-29,USUG11904206,56,194.0,4281468720.0,590392,165544011,83,833807130,10093211,2882064,337322563,3501177394,2258085924,859,1695240,1116,564,11701129,184,489299762,319634,28659471,28994660,,0
creepin' (with the weeknd & 21 savage),HEROES & VILLAINS,metro boomin,2022-12-02,USUG12208791,57,192.3,1337619917.0,228295,64806723,80,193982443,2023998,423714,148085419,1268862678,444033037,152,952186,34,58,2134791,66,77382416,28694,,6205060,,1
dona felicidade,Dona Felicidade,patati patatï¿,2024-06-04,QZNJW2423715,58,190.0,,2,41206,,52480069,82092,,,,,,,,1,1657,,,,,,,0
unholy (feat. kim petras),Unholy (feat. Kim Petras),sam smith,2022-09-22,GBUM72205415,60,189.1,1556275789.0,210583,95974138,74,254051906,3364206,2379787,683088623,7945975878,1524133775,203,718849,117,63,1616564,167,111398743,71335,10424892,10192485,,0
stereo love - melodic,Stereo Love Deluxe (feat. Vika Jigulina),edward maya,2024-06-05,ROCMA2413380,61,187.9,,2,135,9,,,,,,,,,,,,,420235997,885123,,,,0
very cute melody by marimba tone (39813),Very Cute Melody by Marimba Tone (39813),mitsu sound,2023-12-31,RUA1H2406425,62,186.5,1384.0,2,801,,222076,5430,5013500,605320683,8811416708,,,,,,,,,,,,,0
supernova,Supernova,aespa,2024-05-13,KRA302400090,63,186.1,69729033.0,2483,21046278,81,111310770,1724693,56600,61038623,393973528,32059104,40,709,13,7,544322,14,45515,100,255951,63283,,0
me porto bonito,Un Verano Sin Ti,bad bunny,2022-05-06,QM6MZ2214877,64,184.8,1811990630.0,173358,67603671,79,1516863120,8870768,4506600,549886060,6470937272,934894575,124,77120,327,44,14871714,63,111324744,39123,,3393920,,1
back that azz up (feat. lil wayne & mannie fresh),400 Degreez (Deluxe Edition),juvenile,2024-03-29,USCM52400059,65,181.4,199929812.0,4,98,,,,,,,,1,,,,,,390345308,399793,,,,1
calm down,Calm Down,rema,2022-02-10,NGA3B2214004,66,180.1,584427088.0,182994,19203258,68,1141904909,8766235,6129450,856216952,18216656774,2952879912,138,191634,759,53,3481756,45,98290873,46039,14668216,22563407,,0
carnival,CARNIVAL,ýý$,2024-02-08,QZ7XS2400012,67,179.6,466887055.0,53842,103935623,84,27688666,449112,,,,33817299,42,53333,,11,199915,29,1359484,11303,11703609,1982000,,1
kill bill,SOS,sza,2022-12-08,USRC12204584,68,177.7,1873746537.0,190202,99546318,82,220538045,3153793,266430,152410048,1284413960,426461749,214,655242,5448,73,1304067,122,57350590,61270,16992932,4873832,,0
"what was i made for? [from the motion picture ""barbie""]","What Was I Made For? (From The Motion Picture ""Barbie"")",billie eilish,2023-07-13,USUM72307484,69,177.6,891720245.0,114560,97542546,82,144741616,2761964,1443103,498822693,3998086216,1384310160,168,275119,68,108,10920686,111,39374594,19921,5418596,4476509,,0
babba,Black Book ID's: Chapter 5 - EP,guy mac,2023-03-03,QZA742305720,70,176.2,46567.0,252,21930,6,2038459981,6076902,,,,,2,29,,,,,1456,,,903,,0
heat waves,Heat Waves,glass animals,2020-06-29,GBUM72000433,71,175.0,2996181078.0,486278,112416489,82,1272898075,14947520,1416295,513334446,5518429969,4899313022,459,1414326,1434,170,11862378,95,122247640,160431,,17848778,,0
in the end,Papercuts,linkin park,2024-04-12,USWB11201322,72,174.8,2045512421.0,97,488602,,,,,,,,,,,,,2,,,,,,0
"shakira: bzrp music sessions, vol. 53","Shakira: Bzrp Music Sessions, Vol. 53",bizarrap,2023-01-11,UYB282301031,73,174.3,946941510.0,100130,74836321,74,776436101,12951756,4210895,797017650,11936401096,457987382,110,165670,180,106,4971379,92,48806666,10225,,2237762,,0
the way we move - extended mix,The Way We Move,powerdress,2023-03-10,UKACT2330463,74,173.6,7909.0,38,15023,4,1999374091,5708577,,,,,,59,,,,,,,,1412,,0
old town road,Old Town Road,lil nas x,2019-03-14,USSM11901941,75,170.3,1010494713.0,127393,18652312,67,3203314695,41487213,5757883,187301054,1981431049,939714925,63,49780,2195,64,397418,100,181784010,2022074,106880548,8856633,,0
un x100to,un x100to,grupo frontera,2023-04-17,QM6N22311285,76,170.2,1008495696.0,99381,57394938,75,878892413,4425283,796603,127651887,1669065906,1522934425,101,73481,225,42,5734172,81,55857743,15528,,2283747,,0
laxed ï¿½ï¿½ï¿½ sire,Laxed (Siren Beat),jawsh 685,2020-04-24,NZAM02001128,77,168.9,,10230,1142937,,12489728,339414,42900000,919945708,12221514692,,,,,,,,5678792,,,,,0
sprinter,Sprinter - Single,dave,2023-06-01,GBUM72305159,78,168.1,692512930.0,199828,55464762,78,219666692,2332307,731797,130560533,1254944697,918145630,155,42082,36,41,1790031,76,411656,3414,12405917,3093667,,1
chihiro,HIT ME HARD AND SOFT,billie eilish,2024-05-17,USUM72401988,79,167.8,169410711.0,11028,144854768,90,19402457,997411,284,,,260377114,185,1008,,53,20737850,59,521322,698,1680434,388625,,0
tqg,TQG,karol g,2023-02-23,USUM72222541,80,167.8,1024381758.0,78554,69319589,78,1102289596,8953293,457111,15048444,248168852,1174053183,138,149584,38,84,8850320,131,68022934,16511,164895,3488226,,1
perfect,ýý (Deluxe),ed sheeran,2017-03-03,GBAHS1700024,81,167.5,2969999682.0,280165,116921604,81,6473698897,39632673,6642975,601244764,7647479866,1708317539,208,263386,129,343,1242581,102,617483078,595052,,,,0
pepas,Pepas,farruko,2021-06-24,USSD12100307,82,167.3,1500499584.0,359502,125112486,74,1431591689,11553088,2866181,290811371,4067248819,782475986,258,240677,438,137,4015523,102,120046948,89582,6227,17210946,,1
peekaboo,Glide - Single,dave angel,2023-01-27,GBLTF2300027,83,167.2,8082.0,63,32758,,2055940513,4150967,,,,,1,13,,,,,,,,442,,0
ella baila sola,Ella Baila Sola,eslabon armado,2023-03-16,USE7D2300007,84,166.5,1215336974.0,129463,39814172,74,701880622,3831236,5416,550073,15373104,546259059,83,40153,227,24,4946338,61,84378219,53890,17115523,3435177,,0
dance the night - from barbie the album,Dance The Night (From Barbie The Album),dua lipa,2023-05-25,USAT22305457,85,166.2,860026452.0,74769,139913794,80,173044031,1640319,175536,90924917,1227837850,1205266954,7,759185,1100,82,4067956,,64567514,22064,1843883,3199636,,0
la bebe - remix,La Bebe (Remix),yng lvcas,2023-03-17,MXF152300159,86,164.9,1032225805.0,94887,74469479,79,920878032,3118229,1031612,116003972,2416141351,1690231413,83,57941,177,42,3360878,48,55410702,27415,230579,2635577,,1
redrum,american dream,21 savage,2024-01-12,USSM12309164,87,164.8,428233003.0,57311,144298748,,105148629,1762297,87200,6732800,43993800,977638660,74,102457,56,48,4037475,60,16802867,11821,,2490071,,1
easy on me,Easy On Me,adele,2021-10-14,USSM12105970,88,163.2,1720918065.0,209635,93875458,73,1194846205,13561925,1912194,733101955,7860224413,6353555150,325,774277,1316,257,5323750,100,203324731,126594,,7569155,,0
titï¿½ï¿½ me pregu,Un Verano Sin Ti,bad bunny,2022-05-06,QM6MZ2214878,89,163.1,1514239759.0,190692,77283361,77,1366181141,9358441,1769068,475656543,5249863696,488048337,150,145640,920,44,5591928,108,69095169,81914,,5133847,,1
all my life (feat. j. cole),All My Life (feat. J. Cole),lil durk,2023-05-12,USQX92302957,90,162.0,333202114.0,108322,41018697,68,203487345,2084532,928132,63253779,748253884,735908540,148,346411,146,30,1277729,60,90114807,46789,16620102,4207535,,1
anti-hero,Midnights,taylor swift,2022-10-21,USUG12205736,91,161.8,1563224246.0,117005,97456780,80,203259285,3482508,1302967,376660493,3864505972,724976542,261,1034319,1088,74,4457357,150,92338994,45974,,4703179,,0
"quevedo: bzrp music sessions, vol. 52","Quevedo: Bzrp Music Sessions, Vol. 52",bizarrap,2022-07-06,UYB282201028,92,161.7,1692951462.0,209490,88591675,78,1132539234,8795731,1212100,196608777,2054826154,56677146,99,138254,37,58,5211955,65,18052815,5213,4099686,6836893,,0
magnetic,SUPER REAL ME,illit,2024-03-25,USA2P2413259,93,161.0,255076355.0,11500,90584540,86,202206901,2596912,,57656713,506476590,273521596,67,4716,137,9,423666,44,220481,1207,556784,659825,,0
lollipop,EVERYBODY GO TO THE DISCOTEK,darell,2023-07-28,USSD12300307,94,158.2,275349653.0,37806,22826643,70,347506860,1553295,4349700,321239621,4767676439,2676837761,19,23875,96,37,3780737,29,5101044,5276,,1245874,,1
la diabla,La Diabla - Single,xavi,2023-12-02,USA2P2357356,95,155.9,649404552.0,27544,47789063,83,433839212,2750086,,414833,10603563,1795939912,29,16287,462,34,16509806,26,22603598,29401,,1380069,,0
boy's a liar pt. 2,Boy's a liar Pt. 2,pinkpantheress,2023-02-03,GBAYE2300015,96,153.6,851085705.0,129047,50996176,70,211810152,2461166,3502547,955272568,8781020473,806434641,162,223173,6243,65,8655684,130,10207007,36847,13896129,2580691,,1
snooze,SOS,sza,2022-12-09,USRC12204591,97,153.3,1013350808.0,108036,86470319,84,390677417,2521214,402338,97819766,887803828,560893301,154,559589,513,60,2707900,61,74611167,85113,17702595,3129609,,1
bellakeo,BELLAKEO,peso pluma,2023-12-07,QMFMF2388143,98,153.1,359803580.0,26065,79152427,86,369321334,1839225,720800,74164945,874056250,4123457278,40,16952,69,63,18139662,51,20058510,7289,,1002835,,1
agora hills,Scarlet,doja cat,2023-09-22,USRC12301954,99,152.8,509653100.0,66219,67521533,,48045203,986278,328562,88846508,544437406,1561456615,80,400206,14,78,9341155,39,23110274,19559,,4295361,,1
prada,Prada,cassï¿,2023-08-11,GBCEN2300147,100,152.5,609699748.0,128498,160755092,83,47611547,418343,283600,96934486,1090501901,113545664,129,123242,1570,167,15480679,100,1210830,1073,25956265,,,1
montagem rave eterno,Montagem Rave Eterno,dj samir,2024-05-02,GXD7G2413058,101,152.3,5157486.0,470,2924720,,1278618,27849,1100000,261000,3900000,,3,,,2,39366,,,,,47658,,0
lil boo thang,Lil Boo Thang,paul russell,2023-08-18,USAR12300323,102,152.1,242070373.0,37170,74130983,76,22907992,261664,2553106,312997953,3832221658,15593731,106,370635,5999,69,1792014,79,84425715,30713,670026,2219984,,0
monaco,nadie sabe lo que va a pasar maï¿½ï¿,bad bunny,2023-10-13,QMFME2364182,103,150.7,478150858.0,73306,51842133,78,113379734,1312763,1700998,182319546,2111289492,90954700,78,35330,39,56,15784760,53,17823388,12664,4374049,2255465,,1
laxed (siren beat),Laxed (Siren Beat),jawsh 685,2020-04-24,USSM12002399,104,150.5,61382407.0,7240,1708319,43,9977490,201210,37726462,9239474,147837262,,15,10152,,5,59317,1,,,,3819161,,0
(it goes like) nanana - edit,(It Goes Like) Nanana [Edit],peggy gou,2023-06-15,GBBKS2300080,105,150.4,460156070.0,163449,127827271,77,8183226,98257,530103,65920648,1032799567,56004473,,195140,,102,3034022,111,1132923,1312,9451176,9279625,,0
training season,Training Season,dua lipa,2024-02-15,GBAHT2301078,106,148.9,251153869.0,16811,92985554,76,66691067,961957,102884,34572688,431390500,2120552147,162,180711,57,127,33540073,116,10305245,3796,776717,2047771,,0
type shit,WE DON'T TRUST YOU,future,2024-03-22,USSM12402033,107,148.1,205206688.0,28064,84737651,84,39453253,672789,,,,232440923,99,3432,45,41,2943724,47,5897303,4527,7571301,900933,,1
armageddon,Armageddon - The 1st Album,aespa,2024-05-27,KRA302400093,108,147.4,32942304.0,1262,26204483,74,57861795,1257935,,,,29510774,37,290,6,5,530831,33,21869,48,139164,29736,,0
the box,Please Excuse Me For Being Antisocial,roddy ricch,2019-12-06,USAT21906978,109,146.6,1911559785.0,317345,87765033,78,441257231,4829633,4930490,561201008,4574447121,2077511,255,296948,181,138,555650,28,295741432,633414,168458097,11988760,,1
industry baby (feat. jack harlow),INDUSTRY BABY (feat. Jack Harlow),lil nas x,2021-07-23,USSM12104539,110,145.3,2014959725.0,354831,87942438,70,1003346208,16856186,1750366,915814897,9558947943,3191316960,360,245228,925,109,3242122,74,75167268,96430,,12693846,,1
pedro,Pedro - Single,jaxomy,2024-03-29,DEE862400427,111,144.6,168145583.0,27654,159737263,85,35008949,717214,,,,39149568,107,4448,,158,16345999,54,39577,482,3634381,2408838,,0
fast car,Gettin' Old,luke combs,2023-03-24,US6XF2200436,112,144.5,518988585.0,73116,58391498,80,107703759,768813,354036,74258021,924204888,103658014,117,673629,59,67,8306302,104,184924061,88890,728039,3108167,,0
bling-bang-bang-born,Bling-Bang-Bang-Born,creepy nuts,2024-01-07,JPU902305042,113,144.0,247399972.0,22222,13870528,80,389540239,4392933,,22950364,296522040,1041035733,53,807,,18,357941,17,537267,1928,,1069500,,0
aesthetic,Aesthetic,tollan kim,2022-03-04,SGB502208576,114,144.0,5712985.0,2311,535908,44,3120073,56276,20114495,2452502310,33870791454,,4,22,,4,1397,1,21564,81,,249823,,0
sunflower - spider-man: into the spider-verse,Sunflower (Spider-Man: Into the Spider-Verse),post malone,2018-10-18,USUM71814888,116,143.9,3358704125.0,392082,123917182,79,2763188773,19410390,2714134,178829434,1597453878,484189798,351,273683,,86,809352,99,546367356,906813,,1569935,,0
hands,Hands,dianï¿½,2022-08-01,GBKPL2205333,115,143.9,126914.0,8,212,1,2435813922,7208467,33,188,6415,26630093,,658,,,,,,,,295,,0
saturn,Saturn - Single,sza,2024-02-24,USRC12400216,117,142.8,343090427.0,21104,154253718,87,38173339,349660,,,,196380893,120,158378,360,103,10995523,87,11441987,7496,166254,745798,,0
chegou a hora de ir para cama (playback),3 Palavrinhas Vol.9 (Playback),3 palavrinhas,2024-06-04,BXT622400190,118,142.4,,,,,39323383,44223,,,,,,,,,,,,,,,,0
believer,Believer,imagine dragons,2017-01-31,USUM71700626,119,142.2,3006226762.0,335880,89243475,81,4495059988,42240881,5745117,453132709,5876458723,276194776,226,253782,388,118,1138425,71,614578695,844301,2943611,21306706,,0
wait for u (feat. drake & tems),WAIT FOR U (feat. Drake & Tems),future,2022-04-27,USSM12203789,120,141.0,787155930.0,183850,58397185,77,357772653,2590835,931660,95662104,836550889,3934416606,150,463665,1308,32,399388,69,182315884,53326,48937045,3534164,,1
i know ?,UTOPIA,travis scott,2023-07-28,USSM12305012,121,139.5,532605345.0,128534,31725858,81,97958347,1237197,322900,108595670,947194801,259363238,46,107637,57,33,1423258,40,6334599,8712,12785993,1861958,,1
ando,ANDO,jere klein,2023-09-27,QMDA72363047,122,139.0,292789738.0,28591,30905957,72,406307035,809942,1900606,68341852,872862858,1969191415,11,1754,,15,8391160,1,764473,5168,,1195337,,1
first class,First Class,jack harlow,2022-04-08,USAT22203024,123,138.6,818858244.0,223609,49586777,71,231229581,2756840,1610614,624748318,6890780336,3849170813,148,666615,4406,37,759989,77,117451442,40907,24111168,4244972,,1
fe!n,UTOPIA,travis scott,2023-07-28,USSM12305010,124,137.8,659010786.0,129923,93969186,86,125203447,1990342,22100,13787343,107398826,244390161,87,37314,361,46,2137898,38,3029375,6510,14942955,1839283,,1
save your tears - live,After Hours (Live At SoFi Stadium),the weeknd,2023-03-03,USUG12301493,125,137.7,3913988.0,545,1054122,40,1577017938,9304666,,,,2651764724,,25,,,,,5260,,,,,1
losing interest - original mix,Losing Interest (Original),goovex,2024-06-10,CA5KR2465999,126,136.4,126247886.0,5,5973,1,,,,,,,,,,,,,,,,,,0
i ain't worried,"I Ainï¿½ï¿½ï¿½t Worried (Music From The Motion Pi""Top Gun: Maverick"")",onerepublic,2022-05-13,USUM72206227,127,136.2,1607421145.0,212406,160444270,83,409785349,3326477,247865,155593087,1825552705,2563240162,267,523907,3418,111,4754372,75,152770142,49622,,9091826,,0
